UserID,Order,Size,Color,Ratio,Heavier_blue,Heavier_other,Similar,Correct_cd,Odd,VR_exp
User4,3,Small,Green,0.2,FALSE,TRUE,0,1,1,0
User4,13,Small,Red,0.4,FALSE,TRUE,1,1,0,0
User4,17,Small,Purple ,0.6,FALSE,TRUE,0,1,0,0
User4,1,Small,Teal,0.8,FALSE,TRUE,0,1,0,0
User4,7,Small,Yellow,1.2,TRUE,FALSE,0,1,0,0
User4,2,Small,Pink,1.4,TRUE,FALSE,0,1,0,0
User4,15,Small,Orange,1.6,TRUE,FALSE,0,1,0,0
User4,6,Small,DarkBlue,1.8,TRUE,FALSE,0,1,0,0
User4,5,Small,White,2,TRUE,FALSE,0,1,0,0
User4,15,Large,Green,1.8,FALSE,TRUE,0,0,0,0
User4,8,Large,Red,1.6,FALSE,TRUE,0,0,0,0
User4,11,Large,Purple ,1.4,FALSE,TRUE,0,0,0,0
User4,9,Large,Teal,1.2,FALSE,FALSE,1,0,0,0
User4,16,Large,Yellow,0.8,FALSE,TRUE,0,1,0,0
User4,4,Large,Pink,0.6,FALSE,TRUE,0,1,0,0
User4,14,Large,Orange,0.4,FALSE,TRUE,0,1,0,0
User4,12,Large,DarkBlue,0.2,FALSE,TRUE,0,1,0,0
User4,10,Large,White,2,TRUE,FALSE,0,1,0,0
User5,1,Small,Green,0.2,FALSE,TRUE,0,1,0,0
User5,15,Small,Red,0.4,FALSE,TRUE,0,1,0,0
User5,13,Small,Purple ,0.6,TRUE,FALSE,1,0,0,0
User5,11,Small,Teal,0.8,FALSE,FALSE,1,0,0,0
User5,5,Small,Yellow,1.2,TRUE,FALSE,1,1,0,0
User5,3,Small,Pink,1.4,FALSE,FALSE,1,0,0,0
User5,2,Small,Orange,1.6,TRUE,FALSE,1,1,0,0
User5,6,Small,DarkBlue,1.8,TRUE,FALSE,0,1,0,0
User5,4,Small,White,2,TRUE,FALSE,0,1,0,0
User5,14,Large,Green,1.8,TRUE,FALSE,1,1,0,0
User5,18,Large,Red,1.6,TRUE,FALSE,0,1,0,0
User5,10,Large,Purple ,1.4,TRUE,FALSE,0,1,0,0
User5,16,Large,Teal,1.2,TRUE,FALSE,0,1,0,0
User5,9,Large,Yellow,0.8,TRUE,FALSE,0,0,0,0
User5,12,Large,Pink,0.6,FALSE,TRUE,0,1,0,0
User5,8,Large,Orange,0.4,TRUE,FALSE,0,0,0,0
User5,17,Large,DarkBlue,0.2,FALSE,TRUE,0,1,0,0
User5,7,Large,White,2,FALSE,TRUE,0,0,0,0
User6,3,Small,Green,0.2,FALSE,TRUE,1,1,0,1
User6,18,Small,Red,0.4,FALSE,FALSE,1,0,0,1
User6,11,Small,Purple ,0.6,FALSE,TRUE,0,1,0,1
User6,13,Small,Teal,0.8,TRUE,FALSE,0,0,0,1
User6,7,Small,Yellow,1.2,FALSE,TRUE,0,0,0,1
User6,5,Small,Pink,1.4,FALSE,FALSE,1,0,0,1
